ts_code,symbol,name,area,industry
159206.SZ,159206,卫星ETF,-,商业航天
159393.SZ,159393,沪深300ETF,-,沪深300
159559.SZ,159559,机器人ETF,-,机器人
159611.SZ,159611,电力ETF,-,电力
159688.SZ,159688,中概互联网,-,中概互联网
159691.SZ,159691,恒生红利,-,恒生红利
159732.SZ,159732,消费电子,-,消费电子
159755.SZ,159755,电池ETF,-,电池
159766.SZ,159766,旅游ETF,-,旅游
159858.SZ,159858,创新药ETF,-,创新药
159869.SZ,159869,游戏ETF,-,游戏
159870.SZ,159870,化工ETF,-,化工
159915.SZ,159915,创业板ETF,-,创业板
159937.SZ,159937,黄金ETF,-,黄金
164824.SZ,164824,印度ETF,-,印度
511090.SH,511090,30年国债,-,30年国债
511360.SH,511360,短融ETF,-,短融
512400.SH,512400,有色金属ETF,-,有色金属
512480.SH,512480,半导体ETF,-,半导体
512690.SH,512690,酒ETF,-,酒
512710.SH,512710,军工ETF,-,军工
512800.SH,512800,银行ETF,-,银行
512880.SH,512880,证券ETF,-,证券
513060.SH,513060,恒生医疗,-,恒生医疗
513110.SH,513110,纳斯达克,-,纳斯达克
513380.SH,513380,恒生科技,-,恒生科技
513500.SH,513500,标普500,-,标普500
513880.SH,513880,日经225ETF,-,日经225
515210.SH,515210,钢铁ETF,-,钢铁
515220.SH,515220,煤炭ETF,-,煤炭
515230.SH,515230,软件ETF,-,软件
515790.SH,515790,光伏ETF,-,光伏
515980.SH,515980,人工智能ETF,-,人工智能
516150.SH,516150,稀土ETF,-,稀土
516670.SH,516670,畜牧养殖ETF,-,畜牧养殖
588000.SH,588000,科创50,-,科创板
588050.SH,588050,科创50,-,科创板
